index,page,ID,title,kind,url,metascore,critic_count,critic_count_positive,critic_count_mixed,critic_count_negative,userscore,user_count,user_count_positive,user_count_mixed,user_count_negative,developer,publisher,record_label,platform,release_date,rating,esrb,esrb_reason,runtime,genre,cast,show_type,summary
0,0,tv_dexter,Dexter,tv show,http://www.metacritic.com/tv/dexter,77,27,24,2,1,9.3,876,354,3,11,NA,Showtime,NA,NA,"Oct  1, 2006",NA,NA,NA,52,"[u'Action/Adventure', u'Drama']",NA,Returning Series,Based on Jeff Lindsay's novels Darkly Dreaming Dexter and Dearly Devoted Dexter this crime thriller follows Dexter Morgan. Dexter is a forensic blood spatter expert for the Miami Dade Police...
1,0,tv_surface,Surface,tv show,http://www.metacritic.com/tv/surface,39,23,1,10,12,9.3,290,216,4,8,NA,NBC,NA,NA,"Sep 19, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"Ever wonder what life would be like if a new form of sea life began to appear in locales all over the earth? ""Surface"" is an expansive drama and undersea adventure that centers on the appearance of..."
2,2,tv_recount,Recount,tv show,http://www.metacritic.com/tv/recount,66,25,15,7,3,6.8,32,12,0,2,NA,HBO,NA,NA,"May 25, 2008",NA,NA,NA,116,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,TV Movie,"Jay Roach directs this film about the controversy surrounding the incidents that took place in Florida surrounding the 2000 presidential election. Chronicling the weeks the followed, this film goes..."
3,3,tv_smith,Smith,tv show,http://www.metacritic.com/tv/smith,60,29,14,10,5,8.9,75,51,2,4,NA,CBS,NA,NA,"Sep 19, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,This drama follows the adventures of a team of thieves who visit different cities to execute high-level crimes.
4,3,tv_bones,Bones,tv show,http://www.metacritic.com/tv/bones,55,29,13,11,5,7.2,204,82,0,23,Hart Hanson,FOX,NA,NA,"Sep 13, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"From executive producers Barry Josephson and Hart Hanson comes the darkly amusing drama Bones, inspired by real-life forensic anthropologist and novelist Kathy Reichs. Forensic anthropologist Dr...."
5,3,tv_being-human-uk,Being Human (UK),tv show,http://www.metacritic.com/tv/being-human-uk,79,8,8,0,0,7.5,53,17,1,3,NA,BBC-3,NA,NA,"Feb 18, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Returning Series,"Life among the living is tough enough, but meet Mitchell, a 120-year-old vampire, George, a highly intelligent werewolf, and Annie an agoraphobic ghost who died under mysterious circumstances, whom..."
6,3,tv_criminal-minds-suspect-behavior,Criminal Minds: Suspect Behavior,tv show,http://www.metacritic.com/tv/criminal-minds-suspect-behavior,42,24,4,13,7,4.6,18,4,0,3,NA,CBS,NA,NA,"Feb 16, 2011",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Chris Mundy and Ed Bernero are behind this spin-off of Criminal Minds, which is being co-produced for CBS by ABC Studios, CBS Television Studios and The Mark Gordon Company."
7,4,tv_the-tudors,The Tudors,tv show,http://www.metacritic.com/tv/the-tudors,64,27,14,11,2,8.0,73,36,5,5,Michael  Hirst,Showtime,NA,NA,"Apr  1, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,Ended,"The Tudors focuses on the life and romances of the young King Henry VIII.  The first series takes a look at the often overlooked, early political relationships as well as Henry's trysts with such..."
8,4,tv_xiii,XIII,tv show,http://www.metacritic.com/tv/xiii,45,6,0,4,2,7.7,7,0,0,0,NA,NBC,NA,NA,"Feb  8, 2009",NA,NA,NA,240,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,Mini-Series,"Based on a Belgian comic book and an Ubisoft video game, this action mini-series is about a massive governmental conspiracy involving the assassination of the first female U.S. president. A man is..."
9,5,tv_damages,Damages,tv show,http://www.metacritic.com/tv/damages,75,27,22,4,1,8.6,118,48,6,6,NA,FX,NA,NA,"Jul 24, 2007",NA,NA,NA,65,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"Damages is a legal thriller set in the world of New York City high-stakes litigation. The series, which provides a view into the true nature of power and success, follows the turbulent lives of..."
10,6,tv_moonlight,Moonlight,tv show,http://www.metacritic.com/tv/moonlight,38,24,2,11,11,9.3,527,375,1,19,NA,CBS,NA,NA,"Sep 28, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"Moonlight follows Mick St. John, an immortal vampire and private investigator and his struggle to exist after he was bitten 60 years ago by his vampire bride, Coraline, on their wedding night. It..."
11,6,tv_vanished,Vanished,tv show,http://www.metacritic.com/tv/vanished,51,23,3,16,4,5.0,295,110,2,118,Josh Berman,FOX,NA,NA,"Aug 21, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"This FOX drama centers on the search for Sara Collins.  She's the wife of Senator Jeffrey Collins.  Sara vanishes and the FBI lead by Agent Graham Kelton is on the job, but before they can find her..."
12,7,tv_brotherhood,Brotherhood,tv show,http://www.metacritic.com/tv/brotherhood,75,23,18,4,1,9.4,77,47,1,1,Blake Masters,Showtime,NA,NA,"Jul  9, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Brotherhood, a Showtime original series, follows the lives of two brothers in the Providence, Rhode Island Irish-American neighborhood known as The Hill.  The blue-collar neighborhood has roots..."
13,7,tv_knight-rider,Knight Rider,tv show,http://www.metacritic.com/tv/knight-rider,21,20,0,2,18,5.8,33,7,0,11,NA,NBC,NA,NA,"Sep 24, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Mike Traceur is tracked down by his ex-girlfriend, Sarah Graiman after her father, Dr. Charles Graiman, is kidnapped. Mike and Sarah rescue her father and Mike discovers that his father is Michael..."
14,7,tv_torchwood-uk,Torchwood (UK),tv show,http://www.metacritic.com/tv/torchwood-uk,74,13,11,0,2,7.8,74,33,1,9,NA,BBC-1,NA,NA,"Oct 22, 2006",NA,NA,NA,50,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,On Hiatus / TBD,"Torchwood, a spin-off from the popular sci-fi show Doctor Who, follows a group of investigators working for the secret organisation of the same name. Set in Cardiff, Wales the team specialise in..."
15,7,tv_prison-break,Prison Break,tv show,http://www.metacritic.com/tv/prison-break,65,32,21,9,2,8.8,352,172,4,14,Paul T. Scheuring,FOX,NA,NA,"Aug 29, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Prison Break is a drama from executive producers Brett Ratner, Paul Scheuring, Matt Olmstead, Marty Adelstein, Dawn Parouse and Neal Moritz.

After getting himself incarcerated in Fox River State..."
16,8,tv_shark,Shark,tv show,http://www.metacritic.com/tv/shark,60,26,11,15,0,7.9,57,27,2,9,Ian Biederman,CBS,NA,NA,"Sep 21, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Sebastian Stark, a charismatic, supremely self-confident defense attorney who, after a shocking outcome in one of his cases and a personal epiphany, brings his cutthroat tactics to the prosecutor's..."
17,8,tv_k-ville,K-Ville,tv show,http://www.metacritic.com/tv/k-ville,49,20,3,12,5,6.7,33,17,2,5,NA,FOX,NA,NA,"Sep 17, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"It's been two years since Hurricane Katrina ravaged New Orleans and a select few still remain at the NOPD. These special cops are bound and determined to bring back the life to New Orleans,..."
18,8,tv_105-apocalypse,10.5: Apocalypse,tv show,http://www.metacritic.com/tv/105-apocalypse,23,12,0,3,9,4.2,52,12,5,26,NA,NBC,NA,NA,"May 21, 2006",NA,NA,NA,240,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,Mini-Series,"10.5: Apocalypseis the sequel to NBC's hit miniseries 10.5, where the possibility for the ultimate temblor looms.  Reprising their roles are Kim Delaney, David Cubitt, and Beau Bridges."
19,8,tv_life-on-mars,Life On Mars,tv show,http://www.metacritic.com/tv/life-on-mars,74,26,21,5,0,8.5,92,47,0,7,"Ashley Pharoah, Matthew Graham, Tony Jordan",ABC,NA,NA,"Oct  9, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"ABC Studios, 20th Century Fox Television, and Kudos Film and Television co-produced the remake of BBC drama Life on Mars. Executive producers are Jane Featherstone, Steven Garrett, Josh Appelbaum,..."
20,9,tv_samurai-girl,Samurai Girl,tv show,http://www.metacritic.com/tv/samurai-girl,62,8,5,3,0,8.8,18,11,1,0,NA,ABC Family,NA,NA,"Sep  5, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,Ended,"A nineteen-year-old girl called Heaven discovers that the well-to-do businessman who adopted her as an infant is actually the head of Yakuza, the Japanese mafia responsible for murdering her..."
21,10,tv_runaway,Runaway,tv show,http://www.metacritic.com/tv/runaway,53,25,8,11,6,8.7,26,16,1,2,NA,The CW,NA,NA,"Sep 25, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Donnie Wahlberg stars as Paul Rader in this CW drama as a falsely accused lawyer who has to go on the run, with his family, to help clear his name.

The CW cancelled the show after only 3..."
22,10,tv_doctor-who,Doctor Who,tv show,http://www.metacritic.com/tv/doctor-who,70,9,7,2,0,9.0,150,47,1,0,NA,BBC-1,NA,NA,"Mar 26, 2005",NA,NA,NA,45,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Returning Series,"""I'm the Doctor, run for your life!"" The Ninth Doctor came and conquered and died saving the universe and his companions from the cursed Daleks. Regenerating for the ninth time, the Tenth Doctor is..."
23,10,tv_wallander,Wallander,tv show,http://www.metacritic.com/tv/wallander,71,11,10,1,0,8.4,14,5,1,0,NA,BBC-1,NA,NA,"Nov 30, 2008",NA,NA,NA,90,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"Kenneth Branagh plays a Swedish detective called Kurt Wallander in this crime drama for the BBC.

The show is an adaptation of Swedish author Henning Mankell's critically acclaimed book series,..."
24,10,tv_life-on-mars-uk,Life on Mars (UK),tv show,http://www.metacritic.com/tv/life-on-mars-uk,80,7,7,0,0,9.4,56,31,0,0,NA,BBC-1,NA,NA,"Jan  9, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"Welcome to the Life on Mars guide at TV.com.

A detective chief inspector from 2006 is investigating a serial killer when he is knocked over by a speeding car. Waking up, he finds himself..."
25,11,tv_reunion,Reunion,tv show,http://www.metacritic.com/tv/reunion,50,26,7,12,7,9.0,35,24,0,2,NA,FOX,NA,NA,"Sep  8, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama', u'Soap']",NA,Ended,"""Reunion"" is an original concept in television that follows six close friends from their high school graduation in 1986 to their twentieth high school reunion in 2006. Each episode covers a year in..."
26,11,tv_eleventh-hour,Eleventh Hour,tv show,http://www.metacritic.com/tv/eleventh-hour,54,26,12,9,5,6.7,17,10,1,1,NA,CBS,NA,NA,"Oct  9, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"This Jerry Bruckheimer (CSI) produced sci-fi series on CBS is an adaptation of a British thriller of the same name. The show follows Dr. Jacob Hood (Rufus Sewell), a special science adviser to the..."
27,12,tv_leverage,Leverage,tv show,http://www.metacritic.com/tv/leverage,69,19,11,8,0,9.1,75,33,0,1,NA,TNT,NA,NA,"Dec  7, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"""Get ready to get even.""

Meet Nathan Ford, a former insurance investigator who spent his professional career dedicated to the company that he recovered millions in stolen goods for. This same..."
28,12,tv_sleeper-cell,Sleeper Cell,tv show,http://www.metacritic.com/tv/sleeper-cell,65,26,15,9,2,8.3,52,28,3,4,NA,Showtime,NA,NA,"Dec  4, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,Showtimes new drama unveils the war on terrorism to reveal a riveting and unfiltered view.  Sleeper Cell stars Michael Ealy as an African-American undercover F.B.I. agent who is seduced into...
29,12,tv_kid-nation,Kid Nation,tv show,http://www.metacritic.com/tv/kid-nation,54,14,5,5,4,6.4,30,16,1,9,NA,CBS,NA,NA,"Sep 19, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Reality']",NA,Ended,Forty over-achieving kids are given free reign to create their own society in this new reality-based offering from CBS. Forty kids are given forty days free of adult supervision in an abandoned New...
30,12,tv_blade,Blade,tv show,http://www.metacritic.com/tv/blade,49,15,6,4,5,7.5,82,42,2,14,NA,Spike TV,NA,NA,"Jun 28, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"On the mean streets of Detroit, an ancient evil is growing bolder by the day. The House of Chthon is on the verge of eliminating the final barriers to their supremacy over mankind, and only the..."
31,13,tv_robin-hood,Robin Hood,tv show,http://www.metacritic.com/tv/robin-hood,70,9,8,1,0,7.7,81,43,3,12,NA,BBC-1,NA,NA,"Oct  7, 2006",NA,NA,NA,45,"[u'Action/Adventure', u'Drama']",NA,Ended,"Robin, Earl of Huntingdon, has returned home from the Holy Wars under orders from King Richard, to recuperate from injuries sustained in battle. He soon finds that the real battle for England needs..."
32,13,tv_day-break,Day Break,tv show,http://www.metacritic.com/tv/day-break,60,28,12,14,2,9.2,139,92,0,6,NA,ABC,NA,NA,"Nov 15, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Detective Brett Hopper is having a really bad day. He has been framed for murdering ADA Alberto Garza. He has an alibi, but no one will believe him. He wakes up one morning to realize he is..."
33,13,tv_commander-in-chief,Commander in Chief,tv show,http://www.metacritic.com/tv/commander-in-chief,56,26,13,8,5,8.4,216,143,5,24,NA,ABC,NA,NA,"Sep 27, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"For the first time in American history, there will be a female president. Commander in Chief is a political drama surrounding the nation's first female president. This series will examine not only..."
34,14,tv_heist,Heist,tv show,http://www.metacritic.com/tv/heist,51,22,7,9,6,8.5,64,47,2,5,NA,NBC,NA,NA,"Mar 22, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Professional thief, Mickey ONeil decides to create an expert team of career criminals to attempt one of the biggest heists in history. Their goal is to rob three of the most renowned jewelry..."
35,14,tv_ashes-to-ashes,Ashes to Ashes,tv show,http://www.metacritic.com/tv/ashes-to-ashes,71,9,7,1,1,8.8,6,1,0,0,NA,BBC-1,NA,NA,"Feb  7, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Welcome to the Ashes to Ashes guide at TV.com.

DI Alex Drake of the Metropolitan Police is taken hostage and shot, and wakes to find herself apparently thrown back in time to 1981. She quickly..."
36,15,tv_e-ring,E-Ring,tv show,http://www.metacritic.com/tv/e-ring,39,23,5,5,13,9.1,103,78,1,5,NA,NBC,NA,NA,"Sep 21, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"E-Ring, a political drama set within the Pentagon, was created by David McKenna and Ken Robinson, a former Green Beret who consults for CNN on terrorism and military intelligence. McKenna penned..."
37,15,tv_men-in-trees,Men in Trees,tv show,http://www.metacritic.com/tv/men-in-trees,48,24,8,6,10,8.9,190,134,2,8,Jenny Bicks,ABC,NA,NA,"Sep 15, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"After breaking off her engagement when she learns of her fiance's infidelity, Marin Frist, a relationship expert, finds herself living in Elmo, Alaska, surrounded by men and attracted to one in..."
38,15,tv_flashpoint,Flashpoint,tv show,http://www.metacritic.com/tv/flashpoint,51,15,1,14,0,7.8,50,23,0,3,NA,CTV,NA,NA,"Jul 11, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"Flashpoint is an emotional journey following the lives of members of the SRU (Strategic Response Unit) as they solve hostage situations, bust gangs, and defuse bombs. They work by utilizing their..."
39,16,tv_star-wars-the-clone-wars,Star Wars: The Clone Wars,tv show,http://www.metacritic.com/tv/star-wars-the-clone-wars,64,9,5,4,0,8.3,49,14,0,0,NA,Cartoon Network,NA,NA,"Oct  3, 2008",NA,NA,NA,30,"[u'Action/Adventure', u'Science-Fiction', u'Animation']",NA,Returning Series,Star Wars: The Clone Wars is the latest animated series in the Star Wars franchise to hit the small screen. The series takes place in between the films Star Wars Episode II: Attack of the Clones...
40,16,tv_burn-notice,Burn Notice,tv show,http://www.metacritic.com/tv/burn-notice,69,21,15,6,0,9.0,155,69,1,3,Matt Nix,USA,NA,NA,"Jun 28, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"Spies don't get fired; they get burned.

Michael Westen receives a ""burn notice"" while on assignment in Nigeria. Dumped in his Miami hometown with no money or resources to his name, Michael works..."
41,16,tv_the-no-1-ladies-detective-agency,The No. 1 Ladies' Detective Agency,tv show,http://www.metacritic.com/tv/the-no-1-ladies-detective-agency,71,27,21,4,2,9.3,49,27,0,0,NA,BBC,NA,NA,"Mar 23, 2008",NA,NA,NA,105,"[u'Action/Adventure', u'Drama']",NA,Returning Series,Alexander McCall Smith's popular detective series comes to the small screen courtesy of HBO and the BBC. Oscar winner Anthony Minghella shepherds this project with a two-hour pilot shot in...
42,17,tv_breaking-bad,Breaking Bad,tv show,http://www.metacritic.com/tv/breaking-bad,74,27,23,4,0,9.3,655,145,2,0,NA,AMC,NA,NA,"Jan 20, 2008",NA,NA,NA,50,"[u'Action/Adventure', u'Drama']",NA,On Hiatus / TBD,Bryan Cranston (Malcolm in the Middle) stars in this drama focused on a mid-life crisis gone bad for a high school chemistry teacher who becomes a drug dealer after he discovers that he has lung...
43,18,tv_crusoe,Crusoe,tv show,http://www.metacritic.com/tv/crusoe,53,24,9,9,6,7.7,21,4,0,3,NA,NBC,NA,NA,"Oct 17, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Based on the classic Daniel Defoe novel, this thirteen part NBC drama promises plenty of action and adventure of the tropical type.

The story revolves around a man named Robinson Crusoe who,..."
44,19,tv_standoff,Standoff,tv show,http://www.metacritic.com/tv/standoff,37,20,2,8,10,8.2,46,31,1,3,Craig Silverstein,FOX,NA,NA,"Sep  5, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,Matt Flannery and Emily Lehman are top-ranked crisis negotiators in the FBI's Crisis Negotiation Unit who are trained to talk their way through volatile situations. They make an outstanding team...
45,20,tv_heroes,Heroes,tv show,http://www.metacritic.com/tv/heroes,67,29,18,7,4,8.7,308,163,8,15,Tim Kring,NBC,NA,NA,"Sep 25, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,Heroes is a serial saga about people all over the world discovering that they have superpowers and trying to deal with how this change affects their lives. Some of the superheroes who will be...
46,20,tv_kidnapped,Kidnapped,tv show,http://www.metacritic.com/tv/kidnapped,68,27,20,7,0,8.9,36,23,0,1,NA,NBC,NA,NA,"Sep 20, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Timothy Hutton and Dana Delaney star in this thrilling drama as a wealthy and powerful New York couple whose teenage son has been kidnapped. With local law enforcement, the FBI, and a private..."
47,21,tv_the-last-templar,The Last Templar,tv show,http://www.metacritic.com/tv/the-last-templar,29,7,0,1,6,2.4,16,2,0,9,NA,NBC,NA,NA,"Jan 25, 2009",NA,NA,NA,240,"[u'Action/Adventure', u'Movie/Mini-Series']",NA,Mini-Series,"Based on Raymond Khoury's best-selling novel, this NBC mini-series stars Oscar winner Mira Sorvino and Victor Garber. When she witness a mysterious object get stolen from the Metropolitan Museum by..."
48,21,tv_dirt,Dirt,tv show,http://www.metacritic.com/tv/dirt,40,29,5,8,16,7.2,108,64,3,15,NA,FX,NA,NA,"Jan  2, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Courteney Cox stars in this new drama from FX, and also acts as an executive producer. The series follows the exploits of Lucy Spiller, an executive editor at two tabloid magazines. Lucy possesses..."
49,21,tv_in-plain-sight,In Plain Sight,tv show,http://www.metacritic.com/tv/in-plain-sight,56,19,6,11,2,6.4,42,14,2,4,David Maples,USA,NA,NA,"Jun  1, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"In Plain Sight follows the story of a Federal Marshal with the Witness Protection program who must hide her high-risk, high-impact job from her family.  To those that know her, Mary Shannon is a..."
50,22,tv_the-unit,The Unit,tv show,http://www.metacritic.com/tv/the-unit,62,25,13,8,4,7.3,142,48,2,9,David Mamet,CBS,NA,NA,"Mar  7, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,The Unit conducts clandestine and covert operations for the US Government and the US Army around the globe. The Unit operates under the cover of the 303rd Logistical Studies Group. Carrying the...
51,22,tv_drive,Drive,tv show,http://www.metacritic.com/tv/drive,52,27,9,12,6,9.5,274,182,1,7,"Tim Minear, Ben Queen",FOX,NA,NA,"Apr 15, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,Drive follows the lives of a group of Americans racing each other in a sinister and possibly fatal cross-country race. Each person has a special reason to compete - and each person strives to win...
52,23,tv_chuck,Chuck,tv show,http://www.metacritic.com/tv/chuck,74,26,21,4,1,9.0,242,68,2,4,NA,NBC,NA,NA,"Sep 24, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Comedy']",NA,Ended,"The O.C. creator Josh Schwartz and director McG (We Are Marshall) bring us Chuck, a series laced with humor about young twenty-something spies.

Zachary Levi (Less Than Perfect) plays Chuck..."
53,23,tv_legend-of-the-seeker,Legend of the Seeker,tv show,http://www.metacritic.com/tv/legend-of-the-seeker,53,7,1,6,0,7.5,138,39,2,19,NA,Syndicated,NA,NA,"Nov  1, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Hope has a warrior.

Based on Terry Goodkind's best-selling fantasy series, The Sword of Truth, this series follows woodsman Richard Cypher as he transforms from woods guide to magical leader,..."
54,24,tv_the-beast,The Beast,tv show,http://www.metacritic.com/tv/the-beast,52,25,6,14,5,8.9,17,0,0,0,NA,A&E,NA,NA,"Jan 15, 2009",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,An FBI agent with uncouth yet effective tactics is played by Patrick Swayze on A&E's The Beast.  Charles Barker (Swayze) trains new partner Ellis Dove (Travis Fimmel).  Baker imparts his...
55,24,tv_killer-instinct,Killer Instinct,tv show,http://www.metacritic.com/tv/killer-instinct,25,13,1,0,12,8.6,57,36,1,5,NA,FOX,NA,NA,"Sep 23, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,Killer Instinct details the chilling stories behind the bizzare and deviant crimes cimmited by San Francisco's most aberrant criminals and the detectives whose job it is to stop them. The Series...
56,24,tv_harpers-island,Harper's Island,tv show,http://www.metacritic.com/tv/harpers-island,61,22,12,8,2,7.1,35,9,2,1,NA,CBS,NA,NA,"Apr  9, 2009",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Harper's island is a murder mystery show where a group of people go a secluded island for a wedding- and for death. It turns into a struggle for survival, where every episode someone is killed and..."
57,25,tv_american-gladiators,American Gladiators,tv show,http://www.metacritic.com/tv/american-gladiators,60,1,0,1,0,6.4,7,2,0,2,NA,NBC,NA,NA,"Jan  6, 2008",NA,NA,NA,60,"[u'Action/Adventure', u'Reality']",NA,Ended,American Gladiators pits everyday athletes against the show's gladiators in contests of physical strength and endurance. The revival of the American Gladiators franchise features such classic...
58,25,tv_criminal-minds,Criminal Minds,tv show,http://www.metacritic.com/tv/criminal-minds,42,21,3,10,8,8.3,159,74,0,13,Jeff Davis (I),CBS,NA,NA,"Sep 22, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Returning Series,"The FBI's Behavioral Analysis Unit led by Aaron Hotchner (Thomas Gibson) with David Rossi (Joe Mantegna), Emily Prentiss (Paget Brewster), Derek Morgan (Shemar Moore), Dr. Spencer Reid (Matthew..."
59,25,tv_traveler,Traveler,tv show,http://www.metacritic.com/tv/traveler,53,17,7,6,4,9.2,109,69,1,5,David Digilio,ABC,NA,NA,"May 10, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Jay, Tyler and Will have spent the last two years in grad school living together. They are about to spend their summer holiday traveling. But when Will gives Jay and Tyler a simple dare -- to..."
60,26,tv_tin-man,Tin Man,tv show,http://www.metacritic.com/tv/tin-man,54,20,8,7,5,6.3,96,37,7,23,NA,Syfy,NA,NA,"Dec  2, 2007",NA,NA,NA,360,"[u'Action/Adventure', u'Drama']",NA,Mini-Series,"In this bizarre, post-modern version of L. Frank Baum's novel 'The Wonderful Wizard of Oz' and the classic movie based on the book, 'The Wizard of Oz',  Zooey Deschanel stars as DG, the main..."
61,26,tv_angelas-eyes,Angela's Eyes,tv show,http://www.metacritic.com/tv/angelas-eyes,38,11,1,4,6,8.9,67,48,1,2,NA,Lifetime,NA,NA,"Jul 16, 2006",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,Angela's Eyes is about a young FBI agent who is blessed with the ability to almost instantly detect whether or not someone is telling the truth. Angela was spurred to perfect this talent by her...
62,26,tv_castle,Castle,tv show,http://www.metacritic.com/tv/castle,53,22,6,13,3,9.2,218,85,2,1,NA,ABC,NA,NA,"Mar  9, 2009",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Returning Series,A mystery novelist (Nathan Fillion) seeks inspiration for his next book by shadowing NYPD detective Kate Beckett (Stana Katic).
63,26,tv_primeval,Primeval,tv show,http://www.metacritic.com/tv/primeval,73,9,8,1,0,7.2,25,6,1,1,"Adrian Hodges, Tim Haines",BBC America,NA,NA,"Feb 10, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,On Hiatus / TBD,"Primeval, a high-budget series, follows Professor Nick Cutter and his team as they investigate anomalies in time found in the Forest of Dean. An unfortunate side-effect of the anomalies is that..."
64,27,tv_casanova,Casanova,tv show,http://www.metacritic.com/tv/casanova,66,7,4,3,0,8.2,12,8,0,1,NA,BBC-3,NA,NA,"Mar 13, 2005",NA,NA,NA,60,"[u'Action/Adventure', u'Drama']",NA,Ended,"Giacomo Casanova, an elderly librarian (Peter O'Toole) in a castle in Bohemia, has a lot of memories, which he shares with Edith (Rose Byrne), a young servant. This takes us into the world of the..."
65,27,tv_the-librarian-the-curse-of-the-judas-chalice,The Librarian: The Curse of the Judas Chalice,tv show,http://www.metacritic.com/tv/the-librarian-the-curse-of-the-judas-chalice,77,6,6,0,0,6.7,6,0,0,0,NA,TNT,NA,NA,"Dec  7, 2008",NA,NA,NA,90,"[u'Action/Adventure', u'Drama', u'Movie/Mini-Series']",NA,TV Movie,This third installment of The Librarian franchise follows Flynn Carsen to New Orleans to protect a sacred artifact and solve an ancient conspiracy.
66,28,tv_painkiller-jane,Painkiller Jane,tv show,http://www.metacritic.com/tv/painkiller-jane,29,15,1,4,10,6.2,19,8,1,6,"Jimmy Palmiotti, Joe Quesada",Syfy,NA,NA,"Apr 13, 2007",NA,NA,NA,60,"[u'Action/Adventure', u'Science-Fiction', u'Drama']",NA,Ended,"Kristanna Loken stars as Jane Vasco, a DEA agent who discovers that she has the ability to heal rapidly from any injury. She is recruited by a secret government agency that tracks down genetically..."
