index,page,ID,title,kind,url,metascore,critic_count,critic_count_positive,critic_count_mixed,critic_count_negative,userscore,user_count,user_count_positive,user_count_mixed,user_count_negative,developer,publisher,record_label,platform,release_date,rating,esrb,esrb_reason,runtime,genre,cast,show_type,summary
65,36,tv_what-about-brian,What About Brian,tv show,http://www.metacritic.com/tv/what-about-brian,41,21,4,6,11,9.1,137,91,0,7,NA,ABC,NA,NA,"Apr 16, 2006",NA,NA,NA,60,Drama,NA,Ended,"Welcome to the ""What About Brian"" guide at TV.com. Brian O'Hara (Barry Watson,""7th Heaven""), at 34, is the last single guy in his group of friends (3 couples at different stages)  who live in Los..."
66,38,tv_longford,Longford,tv show,http://www.metacritic.com/tv/longford,88,14,13,1,0,8.6,8,4,0,1,NA,Channel 4,NA,NA,"Oct 26, 2006",NA,NA,NA,2,"[u'Drama', u'Movie/Mini-Series']",NA,TV Movie,"Based on a true story, this dramatic television movie tells the tale of a well-respected politician who puts his career and reputation on the line to stand up for a woman convicted of murdering her..."
67,38,tv_the-andromeda-strain,The Andromeda Strain,tv show,http://www.metacritic.com/tv/the-andromeda-strain,40,18,4,6,8,4.0,21,4,3,9,NA,A&E,NA,NA,"May 26, 2008",NA,NA,NA,180,"[u'Science-Fiction', u'Drama', u'Movie/Mini-Series']",NA,New Series,"Based on the celebrated Michael Crichton novel, this sci-fi mini-series boasts an all-star cast. A deadly virus threatens the Earth's population unless a team of scientists can find a cure in time...."
68,38,tv_as-you-like-it,As You Like It,tv show,http://www.metacritic.com/tv/as-you-like-it,75,15,13,2,0,NA,0,1,0,0,NA,HBO,NA,NA,"Aug 21, 2007",NA,NA,NA,127,"[u'Drama', u'Movie/Mini-Series']",NA,TV Movie,"Kenneth Branagh brings one of Shakespeares best plays to HBO.  Set in 19th century Japan, the tale follows Rosalind, the daughter of a banished duke who is forced in to exile after her uncle..."
69,38,tv_sons-of-anarchy,Sons of Anarchy,tv show,http://www.metacritic.com/tv/sons-of-anarchy,68,23,13,9,1,8.9,199,67,3,5,NA,FX,NA,NA,"Sep  3, 2008",NA,NA,NA,60,Drama,NA,Returning Series,"From Kurt Sutter, writer/producer of The Shield, comes Sons of Anarchy, a dark drama set in Charming, a sheltered community watched over by a renegade motorcycle club intent on protecting the town..."
70,39,tv_bleak-house,Bleak House,tv show,http://www.metacritic.com/tv/bleak-house,93,14,14,0,0,9.5,43,29,0,1,NA,BBC-1,NA,NA,"Oct 27, 2005",NA,NA,NA,30,"[u'Drama', u'Soap']",NA,Ended,"Bleak House is a new adaptation of Dickens's great story. Three young orphans - Esther, Richard and Ada - are sent to live at Bleak House, where they receive a friendly welcome from their rich..."
71,40,tv_invasion,Invasion,tv show,http://www.metacritic.com/tv/invasion,72,30,21,7,2,9.0,211,150,7,10,Shaun Cassidy,ABC,NA,NA,"Sep 21, 2005",NA,NA,NA,60,"[u'Science-Fiction', u'Drama']",NA,Ended,Man has searched the skies for centuries and has never come up with conclusive evidence to prove the existence of other forms of intelligent life.  What if we have been looking in the wrong place?...
72,40,tv_jericho,Jericho,tv show,http://www.metacritic.com/tv/jericho,48,30,7,14,9,8.6,239,132,10,15,"Stephen Chbosky, Jonathan E. Steinberg, Josh Schaer",CBS,NA,NA,"Sep 20, 2006",NA,NA,NA,60,"[u'Science-Fiction', u'Drama']",NA,Ended,"After a nuclear disaster caused by several terrorist attacks that destroyed 23 American cites, residents of a small Kansas town must come to terms with a new and very different reality as they..."
73,40,tv_collision,Collision,tv show,http://www.metacritic.com/tv/collision,73,6,5,1,0,8.4,5,3,0,0,NA,ITV1,NA,NA,"Nov  9, 2009",NA,NA,NA,60,Drama,NA,Mini-Series,"This five-part series, starring Douglas Henshall and Kate Ashfield, tells the story of a major car accident which changes the lives of those involved forever."
74,40,tv_studio-60-on-the-sunset-strip,Studio 60 on the Sunset Strip,tv show,http://www.metacritic.com/tv/studio-60-on-the-sunset-strip,75,33,24,8,1,8.3,313,171,13,33,"Aaron Sorkin, Mark Goffman",NBC,NA,NA,"Sep 18, 2006",NA,NA,NA,60,Drama,NA,Ended,"Aaron Sorkin, the mastermind behind ""West Wing"" and ""Sports Night"" brings NBC's next great drama, Studio 60 on the Sunset Strip. Featuring an all-star cast in front of and behind the camera, such..."
75,40,tv_thief,Thief,tv show,http://www.metacritic.com/tv/thief,71,25,18,5,2,9.3,66,46,1,1,NA,FX,NA,NA,"Mar 28, 2006",NA,NA,NA,60,Drama,NA,Ended,"Welcome to the Thief guide at TV.com.Produced by Norman Morrill (""Early Edition,"" ""Promised Land,"" ""The Visitor""), the show revolves around a heist crew lead by Nick Atwater (Andre Braugher -..."
76,41,tv_night-stalker,Night Stalker,tv show,http://www.metacritic.com/tv/night-stalker,48,23,8,5,10,7.3,35,18,0,8,NA,ABC,NA,NA,"Sep 29, 2005",NA,NA,NA,60,"[u'Science-Fiction', u'Drama']",NA,Ended,"Crime reporter Carl Kolchak is partnered with Perri Reed at The Beacon, a Los Angeles newspaper. Together they investigate a string of strange murders...all of which may be related to the death of..."
77,42,tv_virtuality,Virtuality,tv show,http://www.metacritic.com/tv/virtuality,68,12,9,3,0,8.3,21,11,0,0,NA,FOX,NA,NA,"Jun 26, 2009",NA,NA,NA,87,"[u'Science-Fiction', u'Drama', u'Movie/Mini-Series']",NA,TV Movie,"Twelve astronauts onboard Earth's first starship, the Phaeton, are sent on a ten-year expedition to search for a distant solar system in order to save mankind from a dying Earth.  Coupled with this..."
78,42,tv_saved,Saved,tv show,http://www.metacritic.com/tv/saved,52,18,5,11,2,9.5,108,87,0,1,NA,TNT,NA,NA,"Jun 12, 2006",NA,NA,NA,60,Drama,NA,Ended,"Saved chronicles medical school dropout turned paramedic Wyatt Cole (Tom Everett Scott) , who finds the breakneck pace of his 24-hour shift a welcome escape from his inner demons."
